,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
45,"Middelburg, Netherlands",response not available,95.51634665282823,50.0,f,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerpen, Vlaams Gewest, Belgium",Entire rental unit,Entire home/apt,2.0,2,30,t,27,77,0,0,4.49,4.71,4.49,4.73,4.86,4.86,4.51,t,95.0,95.0,0.0,3.0,5.0,0.77,57,83,358,93.17808219178082,98.08219178082192,1 bath,19.0,1.6666666666666667,0.0,0.0
46,"Antwerp, Belgium",within a few hours,100.0,82.0,t,host neighbourhood not available,3,"['email', 'phone']",f,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,2.0,2,1125,t,27,39,14,2,5.0,4.92,4.92,5.0,5.0,4.97,4.81,f,200.0,200.0,0.0,2.0,4.0,0.39,57,81,356,195.06849315068493,97.53424657534246,1 bath,50.0,2.0,0.0,0.0
47,"Antwerp, Belgium",within a day,100.0,87.0,t,host neighbourhood not available,2,"['email', 'phone', 'work_email']",f,"Antwerp, Flanders, Belgium",Private room in bed and breakfast,Private room,1.0,1,7,t,3,30,7,0,4.93,4.93,4.86,4.93,4.93,4.83,4.76,f,80.0,80.0,0.0,1.0,2.0,0.32,3,3,35,7.671232876712328,9.58904109589041,1 private bath,40.0,2.0,0.0,0.0
48,"Antwerp, Belgium",within a day,100.0,100.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,1.0,14,60,t,0,158,8,0,4.21,4.41,4.14,4.6,4.61,4.28,4.27,f,51.95890410958904,51.95890410958904,6.495218774421146,1.0,2.0,1.57,0,16,268,38.61917808219178,73.42465753424658,1.5 baths,25.97945205479452,2.0,0.0,12.500684696354961
49,host location not available,within a day,100.0,0.0,f,host neighbourhood not available,2,"['email', 'phone']",f,neighbourhood not available,Entire rental unit,Entire home/apt,2.0,2,1125,t,0,17,0,0,4.59,4.94,4.94,4.88,4.76,4.12,4.59,f,58.0,58.0,0.0,2.0,3.0,0.17,0,0,89,14.142465753424657,24.383561643835616,1 bath,19.333333333333332,1.5,0.0,0.0
50,"Antwerp, Belgium",within a day,100.0,87.0,t,host neighbourhood not available,2,"['email', 'phone', 'work_email']",f,"Antwerp, Flanders, Belgium",Private room in bed and breakfast,Private room,1.0,1,7,t,1,50,10,0,4.76,4.86,4.9,4.94,4.94,4.74,4.8,f,80.0,80.0,0.0,2.0,2.0,0.53,1,1,33,7.232876712328767,9.04109589041096,1.5 shared baths,40.0,1.0,0.0,0.0
51,"Antwerp, Belgium",within an hour,100.0,100.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Private room in home,Private room,1.0,2,7,t,27,176,16,1,4.68,4.86,4.78,4.89,4.86,4.67,4.74,t,93.17808219178082,93.17808219178082,20.546344335250417,1.0,2.0,1.81,57,85,356,90.45205479452055,97.53424657534246,1.5 shared baths,46.58904109589041,2.0,0.0,22.050619471821236
52,"Antwerp, Belgium",within an hour,100.0,69.0,f,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire townhouse,Entire home/apt,2.0,2,1125,t,26,23,1,0,4.83,4.96,5.0,4.96,4.91,4.52,4.96,f,236.24657534246575,236.24657534246575,10.265407639676614,3.0,4.0,0.23,54,84,359,232.1095890410959,98.35616438356163,1.5 baths,59.06164383561644,1.3333333333333333,0.0,4.345209078606012
53,"Antwerp, Belgium",within an hour,100.0,97.0,t,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,2.0,2,1125,t,13,300,27,1,4.87,4.87,4.85,4.95,4.96,4.8,4.81,f,156.84383561643835,156.84383561643835,55.82813350580633,4.0,8.0,3.08,28,50,314,134.53150684931506,86.02739726027397,2 baths,19.605479452054794,2.0,0.0,35.5947259810287
54,"Antwerp, Belgium",within an hour,100.0,79.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Private room in condo,Private room,2.0,1,1125,t,19,103,7,0,4.71,4.84,4.68,4.87,4.88,4.68,4.67,t,75.0,75.0,0.0,1.0,4.0,1.06,49,79,354,72.73972602739725,96.98630136986301,1 shared bath,18.75,4.0,0.0,0.0
